,PrimerMix,Target,Assay,Conc,Exp_id,MeltPeaks,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45
10,PM9.8,mcr-1,G10,100,20200520_02,87.43472429,-0.0014033,-0.0005121,0.0003289,0.0006107,0.0009758,0.001261,0.0013904,0.001669,0.0019987,0.0019002,0.0021939,0.0023786,0.0025922,0.0026335,0.0031835,0.0032423,0.0035409,0.0036929,0.0042924,0.0044041,0.0049718,0.0053912,0.0058462,0.0066695,0.0079572,0.0099854,0.0137984,0.0200077,0.0315356,0.0534766,0.0906946,0.1494586,0.2247296,0.3004856,0.3629126,0.4108746,0.4496806,0.4809706,0.5078556,0.5281756,0.5465376,0.5622506,0.5750306,0.5871056,0.5970296
11,PM9.8,mcr-1,G10,100,20200520_02,87.31535276,-0.0003122,-7.72E-05,-7.34E-05,0.0002111,0.0002517,0.00051,0.0006497,0.0006786,0.0008602,0.0009921,0.0010903,0.0014444,0.0017797,0.0016296,0.0020578,0.0023213,0.0023614,0.0025177,0.0029174,0.003124,0.0035495,0.0037805,0.0040117,0.0045541,0.0053916,0.0065774,0.0088493,0.0129498,0.0206379,0.0346508,0.0598384,0.1032954,0.1689154,0.2489364,0.3253464,0.3839614,0.4298374,0.4670064,0.4974214,0.5225594,0.5436134,0.5607364,0.5763244,0.5890514,0.6002744
12,PM9.8,mcr-1,G10,1000,20200520_02,87.4654584,-8.37E-05,-6.54E-06,-9.39E-05,5.66E-05,0.00012766,0.00014216,0.00025266,0.00024526,0.00030856,0.00042546,0.00045036,0.00053906,0.00063356,0.00078686,0.00069716,0.00083106,0.00103056,0.00115906,0.00159946,0.00186076,0.00272916,0.00364666,0.00540656,0.00895106,0.01488626,0.02662386,0.04771656,0.08426756,0.14136656,0.21435256,0.28680256,0.34562756,0.38938456,0.42608456,0.45608956,0.48082356,0.50116956,0.51810756,0.53276256,0.54505856,0.55540356,0.56553056,0.57295256,0.58081356,0.58669556
13,PM9.8,mcr-1,G10,1000,20200520_02,87.46746431,-0.00083464,-0.00054784,1.30E-05,0.00055166,0.00081786,0.00108896,0.00145466,0.00141666,0.00149586,0.00167546,0.00181616,0.00187596,0.00216556,0.00222566,0.00267486,0.00250336,0.00269336,0.00311686,0.00340106,0.00357056,0.00452426,0.00512126,0.00683756,0.01013136,0.01544726,0.02629366,0.04495296,0.07846596,0.13145396,0.20283196,0.27844296,0.34239496,0.38994396,0.42814596,0.46093796,0.48813596,0.51011596,0.52863396,0.54450996,0.55849496,0.57045496,0.58084496,0.58925796,0.59716796,0.60499996
14,PM9.8,mcr-1,G10,1000,20200520_02,87.39146339,-0.0007719,-0.0004857,2.39E-05,0.0005695,0.0006642,0.0009297,0.0012034,0.0012811,0.0018483,0.0017871,0.0017663,0.001989,0.0021393,0.0023761,0.0024794,0.0028292,0.0031542,0.0032491,0.0038061,0.0041108,0.0050582,0.0060051,0.0076615,0.0107605,0.0167153,0.027236,0.0471503,0.0812213,0.1356283,0.2082843,0.2832133,0.3453203,0.3925993,0.4296613,0.4614523,0.4871093,0.5086933,0.5266623,0.5422663,0.5557703,0.5671743,0.5765033,0.5856513,0.5934833,0.6002703
15,PM9.8,mcr-1,G10,1000,20200520_02,87.47934353,-0.00141826,-0.00060266,-4.50E-05,0.00085494,0.00121094,0.00144204,0.00131074,0.00154444,0.00195404,0.00197114,0.00199974,0.00213224,0.00253844,0.00241514,0.00266794,0.00315514,0.00331744,0.00354604,0.00434404,0.00461084,0.00521574,0.00648064,0.00821364,0.01165184,0.01740514,0.02827794,0.04843054,0.08282854,0.13763654,0.20912654,0.28215254,0.34198454,0.38649054,0.42320054,0.45371154,0.47852654,0.49957254,0.51689854,0.53200454,0.54458854,0.55561854,0.56522654,0.57288054,0.58091154,0.58723754
16,PM9.8,mcr-1,G10,1000,20200520_02,87.49811866,-0.00151742,-0.00033502,0.00020588,0.00075298,0.00089358,0.00123648,0.00137788,0.00178828,0.00165768,0.00215878,0.00224218,0.00225028,0.00210668,0.00287318,0.00264838,0.00293518,0.00312528,0.00343568,0.00383278,0.00416728,0.00511798,0.00592868,0.00779148,0.01122458,0.01780888,0.02996568,0.05184768,0.09014568,0.14954668,0.22645068,0.30300868,0.36731868,0.41611068,0.45556168,0.48804568,0.51489768,0.53692568,0.55548968,0.57165468,0.58479568,0.59729168,0.60687768,0.61633768,0.62497968,0.63209868
17,PM9.8,mcr-1,G10,1000,20200520_02,87.45932347,-0.00198022,-0.00022102,9.76E-05,0.00097078,0.00113288,0.00154308,0.00190828,0.00204068,0.00210488,0.00238978,0.00246278,0.00276128,0.00304868,0.00306758,0.00339318,0.00355268,0.00400408,0.00410298,0.00443748,0.00511088,0.00566478,0.00690328,0.00907628,0.01243178,0.01944378,0.03149638,0.05417638,0.09358038,0.15499038,0.23557738,0.31632138,0.38349138,0.43426338,0.47503338,0.50922138,0.53686038,0.56058438,0.57906338,0.59625438,0.60994738,0.62309538,0.63395238,0.64299238,0.65194038,0.65961938
18,PM9.8,mcr-1,G10,10000,20200520_02,87.6109967,-0.00039628,-0.00016388,-0.00013858,0.00038522,0.00031352,0.00063162,0.00087752,0.00077662,0.00110012,0.00121832,0.00133292,0.00124612,0.00166272,0.00145192,0.00197512,0.00228792,0.00254572,0.00303142,0.00448432,0.00714092,0.01146772,0.01986432,0.03534122,0.06293862,0.10942262,0.17637162,0.25302662,0.32294362,0.37579862,0.41717862,0.45081562,0.47828062,0.50122362,0.52003862,0.53535562,0.54973562,0.56081862,0.57066962,0.57955962,0.58726362,0.59450862,0.60027462,0.60575862,0.61126462,0.61525162
19,PM9.8,mcr-1,G10,10000,20200520_02,87.56966297,-0.00082674,-0.00041104,0.00019226,0.00032646,0.00071906,0.00087706,0.00123406,0.00123416,0.00130556,0.00139436,0.00133586,0.00152616,0.00162246,0.00174416,0.00217616,0.00222526,0.00252266,0.00303036,0.00448806,0.00640916,0.01095736,0.01887306,0.03386176,0.06079276,0.10618876,0.17177276,0.24811576,0.31739376,0.36966676,0.41056376,0.44436376,0.47286576,0.49497876,0.51369576,0.52997676,0.54370776,0.55527276,0.56528776,0.57414976,0.58197776,0.58906576,0.59518876,0.60067576,0.60546976,0.61039976
