,Method,TrainSize,Train/Test,Accuracy,Repeat ID
0,MCA,127,Train,0.7165354330708661,0
1,MCA,127,Test,0.6364,0
2,ACA,127,Train,0.8476377952755905,0
3,ACA,127,Test,0.5828,0
4,FFI,127,Train,0.2677165354330709,0
5,FFI,127,Test,0.2172,0
6,AMCA,127,Train,0.9842519685039369,0
7,AMCA,127,Test,0.7562,0
0,MCA,177,Train,0.7740112994350282,0
1,MCA,177,Test,0.7252,0
2,ACA,177,Train,0.7635593220338983,0
3,ACA,177,Test,0.5766,0
4,FFI,177,Train,0.2994350282485876,0
5,FFI,177,Test,0.2532,0
6,AMCA,177,Train,0.9661016949152542,0
7,AMCA,177,Test,0.8696,0
0,MCA,127,Train,0.7165354330708661,0
1,MCA,127,Test,0.7344,0
2,ACA,127,Train,0.7688976377952755,0
3,ACA,127,Test,0.5504,0
4,FFI,127,Train,0.28346456692913385,0
5,FFI,127,Test,0.218,0
6,AMCA,127,Train,0.968503937007874,0
7,AMCA,127,Test,0.7998,0
0,MCA,6738,Train,0.8910655981003265,0
1,MCA,6738,Test,0.8886,0
2,ACA,6738,Train,0.7714455327990501,0
3,ACA,6738,Test,0.7594,0
4,FFI,6738,Train,0.3290293855743544,0
5,FFI,6738,Test,0.331,0
6,AMCA,6738,Train,0.9915405164737312,0
7,AMCA,6738,Test,0.9918,0
0,MCA,2498,Train,0.8626901521216973,0
1,MCA,2498,Test,0.8586,0
2,ACA,2498,Train,0.7646116893514812,0
3,ACA,2498,Test,0.7628,0
4,FFI,2498,Train,0.3046437149719776,0
5,FFI,2498,Test,0.304,0
6,AMCA,2498,Train,0.9915932746196956,0
7,AMCA,2498,Test,0.991,0
0,MCA,478,Train,0.7887029288702929,0
1,MCA,478,Test,0.797,0
2,ACA,478,Train,0.749163179916318,0
3,ACA,478,Test,0.6851999999999999,0
4,FFI,478,Train,0.3368200836820084,0
5,FFI,478,Test,0.2846,0
6,AMCA,478,Train,0.99581589958159,0
7,AMCA,478,Test,0.9778,0
0,MCA,91,Train,0.6923076923076923,0
1,MCA,91,Test,0.6244,0
2,ACA,91,Train,0.7851648351648352,0
3,ACA,91,Test,0.5549999999999999,0
4,FFI,91,Train,0.2637362637362637,0
5,FFI,91,Test,0.2168,0
6,AMCA,91,Train,0.978021978021978,0
7,AMCA,91,Test,0.7436,0
0,MCA,6738,Train,0.8872068863164143,0
1,MCA,6738,Test,0.8878,0
2,ACA,6738,Train,0.7718907687741171,0
3,ACA,6738,Test,0.7798,0
4,FFI,6738,Train,0.3358563371920451,0
5,FFI,6738,Test,0.35100000000000003,0
