,FFI,ACA,MCA,AMCA
0,0.3430034129692833,0.816382252559727,0.9003412969283277,0.9953924914675768
1,0.3513651877133106,0.8109215017064847,0.8953924914675768,0.9930034129692833
2,0.3387372013651877,0.8324232081911263,0.8918088737201365,0.991296928327645
3,0.3387372013651877,0.8201365187713311,0.8890784982935154,0.9948805460750854
4,0.3513651877133106,0.8320819112627986,0.8902730375426621,0.9921501706484641
5,0.3390784982935154,0.8327645051194539,0.8890784982935154,0.9931740614334471
6,0.34658703071672353,0.8517064846416382,0.8947098976109215,0.9943686006825938
7,0.3532423208191126,0.7979522184300342,0.8940273037542662,0.9935153583617747
8,0.34528076463560337,0.8079877112135176,0.8936678614097969,0.9918074756784434
9,0.3425499231950845,0.828810377197474,0.8952039597200887,0.9936849291688001
